Date, State, Flips, Cases, Deaths
2021-05-10,Alabama,01,531094,10978
2021-05-10,Alaska,02,68559,332
2021-05-10,Arizona,04,869472,17409
2021-05-10,Arkansas,05,337586,5764
2021-05-10,California,06,3760251,62331
2021-05-10,Colorado,08,527186,6494
2021-05-10,Connecticut,09,343545,8154
2021-05-10,Delaware,10,106252,1641
2021-05-10,District of Columbia,11,48195,1110
2021-05-10,Florida,12,2272094,35782
2021-05-10,Georgia,13,1085897,19731
2021-05-10,Guam,66,9012,140
2021-05-10,Hawaii,15,33665,485
2021-05-10,Idaho,16,189199,2063
2021-05-10,Illinois,17,1360247,24590
2021-05-10,Indiana,18,733631,13419
2021-05-10,Iowa,19,367909,5985
2021-05-10,Kansas,20,312985,5059
2021-05-10,Kentucky,21,452284,6699
2021-05-10,Louisiana,22,462868,10438
2021-05-10,Maine,23,64208,795
2021-05-10,Maryland,24,453592,8861
2021-05-10,Massachusetts,25,697872,17698
2021-05-10,Michigan,26,963056,19398
2021-05-10,Minnesota,27,589045,7324
2021-05-10,Mississippi,28,313675,7234
2021-05-10,Missouri,29,606513,9337
2021-05-10,Montana,30,110051,1592
2021-05-10,Nebraska,31,221500,2374
2021-05-10,Nevada,32,318780,5506
2021-05-10,New Hampshire,33,96801,1315
2021-05-10,New Jersey,34,1008046,25809
2021-05-10,New Mexico,35,199901,4108
2021-05-10,New York,36,2072264,52192
2021-05-10,North Carolina,37,984647,12814
2021-05-10,North Dakota,38,108556,1529
2021-05-10,Northern Mariana Islands,69,170,2
2021-05-10,Ohio,39,1084322,19428
2021-05-10,Oklahoma,40,450315,6832
2021-05-10,Oregon,41,191837,2549
2021-05-10,Pennsylvania,42,1179648,26597
2021-05-10,Puerto Rico,72,169158,2374
2021-05-10,Rhode Island,44,149948,2690
2021-05-10,South Carolina,45,584932,9596
2021-05-10,South Dakota,46,123310,1981
2021-05-10,Tennessee,47,839439,12178
2021-05-10,Texas,48,2912414,50828
2021-05-10,Utah,49,400624,2225
2021-05-10,Vermont,50,23541,249
2021-05-10,Virgin Islands,78,3233,27
2021-05-10,Virginia,51,666986,10902
2021-05-10,Washington,53,417677,5630
2021-05-10,West Virginia,54,156617,2729
2021-05-10,Wisconsin,55,666613,7652
2021-05-10,Wyoming,56,58764,710
